,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
20,7,1994-0645-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,44.0,1994,12,,1994,12,,,34.0,1000000.0,,1000034.0,54.7016925431883,Southern NSW,AU,AU,-25.274398,133.775136,Australia,7,Millions,482370,,"Cereals, Total",12667,17799.0,7,7
21,7,1994-0645-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,44.0,1994,12,,1994,12,,,34.0,1000000.0,,1000034.0,54.7016925431883,Southern NSW,AU,AU,-25.274398,133.775136,Australia,7,Millions,482370,,Fruit Primary,158592,17799.0,7,7
22,7,1994-0645-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,44.0,1994,12,,1994,12,,,34.0,1000000.0,,1000034.0,54.7016925431883,Southern NSW,AU,AU,-25.274398,133.775136,Australia,7,Millions,482370,,"Milk, Total",46612,17799.0,7,7
23,7,1994-0645-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,44.0,1994,12,,1994,12,,,34.0,1000000.0,,1000034.0,54.7016925431883,Southern NSW,AU,AU,-25.274398,133.775136,Australia,7,Millions,482370,,Vegetables Primary,209118,17799.0,7,7
24,9,1995-0443-AUS,1995,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1995,11,,1995,11,,1.0,100.0,500000.0,,500100.0,56.2363000218675,Western Sydney,AU,AU,-25.274398,133.775136,Australia,9,Millions,511780,,"Cereals, Total",18710,17993.0,9,9
25,9,1995-0443-AUS,1995,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1995,11,,1995,11,,1.0,100.0,500000.0,,500100.0,56.2363000218675,Western Sydney,AU,AU,-25.274398,133.775136,Australia,9,Millions,511780,,Fruit Primary,144301,17993.0,9,9
26,9,1995-0443-AUS,1995,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1995,11,,1995,11,,1.0,100.0,500000.0,,500100.0,56.2363000218675,Western Sydney,AU,AU,-25.274398,133.775136,Australia,9,Millions,511780,,"Milk, Total",46460,17993.0,9,9
27,9,1995-0443-AUS,1995,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1995,11,,1995,11,,1.0,100.0,500000.0,,500100.0,56.2363000218675,Western Sydney,AU,AU,-25.274398,133.775136,Australia,9,Millions,511780,,Vegetables Primary,208221,17993.0,9,9
28,11,1994-0624-IND,1994,Heat wave,India,IND,Southern Asia,Asia,,,,,49.0,1994,5,,1994,5,,161.0,,,,,54.7016925431883,"New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,11,Millions,...,,"Cereals, Total",21155,945602.0,11,11
29,11,1994-0624-IND,1994,Heat wave,India,IND,Southern Asia,Asia,,,,,49.0,1994,5,,1994,5,,161.0,,,,,54.7016925431883,"New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,11,Millions,...,,Fruit Primary,113412,945602.0,11,11
