,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,Cereals,Fruit,Milk,Vegetables,Population_value
72,2010-0206-IND,2010,Heat wave,India,IND,Southern Asia,Asia,,,,,49,2010,3,,2010,5,,250,,,,,80.47228515,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",IN,IN,20.593684,78.96288,India,107,Millions,72938200,45.12977219,26764,117940,10251,138182,1234281
73,2009-0658-JPN,2009,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2009,7,,2009,7,,16,,,,,79.17380276,All country,JP,JP,36.204824,138.252924,Japan,108,Millions,494938400,3686.154297,59195,179937,74107,298176,128555
74,2010-0331-JPN,2010,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,35,2010,7,19,2010,7,25,170,,15000,,15000,80.47228515,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",JP,JP,36.204824,138.252924,Japan,109,Millions,505530600,4060.490967,58537,159614,74103,288312,128542
75,2011-0329-ITA,2011,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,47,2011,8,17,2011,8,24,10,,,,,83.01267439,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",IT,IT,41.87194,12.56738,Italy,114,Millions,1648755.8,3392.012695,56772,148621,13702,266939,59589
76,2011-0573-JPN,2011,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,35,2011,7,,2011,8,,36,22000,,,22000,83.01267439,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",JP,JP,36.204824,138.252924,Japan,115,Millions,497448900,5087.356445,60106,163981,73795,292310,128499
77,2013-0208-IND,2013,Heat wave,India,IND,Southern Asia,Asia,,,,,46,2013,4,1,2013,5,30,557,,,,,85.97164225,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",IN,IN,20.593684,78.96288,India,116,Millions,108981300,56.11839676,29699,120652,11187,139447,1280842
78,2013-0316-JPN,2013,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,41,2013,5,,2013,9,,338,54000,,,54000,85.97164225,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)",JP,JP,36.204824,138.252924,Japan,117,Millions,508700600,4336.106934,62814,170199,80100,271552,128314
79,2014-0010-AUS,2014,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,52,2014,1,13,2014,1,18,139,,,,,87.36629784,"Western Australia, Victoria provinces",AU,AU,-25.274398,133.775136,Australia,120,Millions,1613129,5607.917969,21379,133363,57947,238907,23596
80,2015-0410-BEL,2015,Heat wave,Belgium,BEL,Western Europe,Europe,,,,,,2015,6,30,2015,7,5,410,,,,,87.46993221,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",BE,BE,50.503887,4.469936,Belgium,121,Millions,416701.4,4291.489746,98422,346414,73725,304636,11288
81,2015-0410-FRA,2015,Heat wave,France,FRA,Western Europe,Europe,,,,,40,2015,6,29,2015,8,9,3275,,,,,87.46993221,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",FR,FR,46.227638,2.213749,France,123,Millions,2198432,4201.555664,75700,106701,45045,214786,64453
82,2014-0546-PAK,2014,Heat wave,Pakistan,PAK,Southern Asia,Asia,Drought,,,,,2014,1,,2014,4,30,139,,,,,87.36629784,"Mithi, Chachro, Dahli, Diplo, Islamkot, Nagarparkar regions (Tharparkar district, Sindh province)",PA,PA,8.537981,-80.782127,Panama,124,Millions,25168805,34.69661713,30012,90529,15260,122345,195305
83,2014-0578-JPN,2014,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,39,2014,7,14,2014,7,29,27,17000,,,17000,87.36629784,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",JP,JP,36.204824,138.252924,Japan,125,Millions,518811100,4099.280273,63251,176255,80809,275507,128169
84,2015-0189-IND,2015,Heat wave,India,IND,Southern Asia,Asia,,,,,48,2015,5,20,2015,5,31,2248,,,,,87.46993221,"Delhi, Andhra Pradesh, Orissa provinces",IN,IN,20.593684,78.96288,India,126,Millions,133907300,58.91690063,28567,135515,12031,145464,1310152
85,2015-0575-JPN,2015,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2015,8,3,2015,8,9,32,11187,,,11187,87.46993221,"Oosaka province, Tokyo, Saitama",JP,JP,36.204824,138.252924,Japan,127,Millions,538032300,3733.376465,63167,169068,83469,275955,127985
86,2015-0610-JPN,2015,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2015,5,11,2015,5,,2,480,,,480,87.46993221,Entire country,JP,JP,36.204824,138.252924,Japan,128,Millions,538032300,3733.376465,63167,169068,83469,275955,127985
87,2015-0611-JPN,2015,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2015,7,12,2015,7,15,5,3200,,,3200,87.46993221,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata",JP,JP,36.204824,138.252924,Japan,129,Millions,538032300,3733.376465,63167,169068,83469,275955,127985
88,2015-0232-PAK,2015,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,Yes,45,2015,6,18,2015,6,24,1229,,80000,,80000,87.46993221,"Sindh, Punjab provinces",PA,PA,8.537981,-80.782127,Panama,130,Millions,27443022.5,35.98087311,29424,93973,15089,118935,199427
89,2016-0133-IND,2016,Heat wave,India,IND,Southern Asia,Asia,,,,,51,2016,4,1,2016,5,20,300,,,,,88.57345288,"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",IN,IN,20.593684,78.96288,India,132,Millions,149647100,60.60255051,30080,138577,12239,147285,1324517
90,2018-0195-CAN,2018,Heat wave,Canada,CAN,Northern America,Americas,,,,,37,2018,6,29,2018,7,5,70,,,,,92.6696698,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",CA,CA,56.130366,-106.346771,Canada,134,Millions,2231168,5018.711426,39146,112558,94814,250350,37075
91,2016-0538-JPN,2016,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,,2016,8,6,2016,8,8,3,490,,,490,88.57345288,"Yamanashi, Kawanehoncho,Shizuoka",JP,JP,36.204824,138.252924,Japan,135,Millions,544364600,4174.422363,62534,170101,83497,272362,127763
92,2017-0144-IND,2017,Heat wave,India,IND,Southern Asia,Asia,,,,,48,2017,4,12,2017,6,15,264,,,,,90.46017931,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",IN,IN,20.593684,78.96288,India,136,Millions,166281300,57.55659103,31213,144257,12664,149829,1338677
93,2018-0226-JPN,2018,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,41,2018,7,1,2018,7,15,119,49000,,,49000,92.6696698,Kumagaya (Saitama Prefecture),JP,JP,36.204824,138.252924,Japan,138,Millions,556293700,4256.095703,64047,170259,84590,270982,127202
94,2018-0143-PAK,2018,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,42,2018,5,18,2018,5,22,180,,,,,92.6696698,Karachi,PA,PA,8.537981,-80.782127,Panama,139,Millions,34616302,42.87313461,28872,94596,15553,129488,212228
95,2019-0217-IND,2019,Heat wave,India,IND,Southern Asia,Asia,,,,,42,2019,6,,2019,6,,90,,,,,94.3490925,"Patna, Gaya, Bhagalpur cities; Aurangabad, Nawada districts (Bihar)",IN,IN,20.593684,78.96288,India,140,Millions,197358000,63.74832153,34049,146866,13608,152808,1366418
96,2019-0223-IND,2019,Heat wave,India,IND,Southern Asia,Asia,,,,,,2019,6,,2019,6,,22,450,,,450,94.3490925,"Karnataka, Maharashtra, Madhya Pradesh, Rajasthan, Uttar Pradesh states",IN,IN,20.593684,78.96288,India,141,Millions,197358000,63.74832153,34049,146866,13608,152808,1366418
97,2019-0296-ESP,2019,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,,2019,6,26,2019,6,30,2,,,,,94.3490925,"Cordoba, Valladolid",ES,ES,40.463667,-3.74922,Spain,143,Millions,1244375,2711.192871,34455,117714,16957,409289,46737
98,2019-0296-FRA,2019,Heat wave,France,FRA,Western Europe,Europe,,,,,46,2019,6,24,2019,7,7,567,,,,,94.3490925,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",FR,FR,46.227638,2.213749,France,144,Millions,2437635,4491.735352,74919,96076,41928,222027,65130
99,2019-0366-FRA,2019,Heat wave,France,FRA,Western Europe,Europe,,,,,44,2019,7,21,2019,7,27,868,,,,,94.3490925,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),FR,FR,46.227638,2.213749,France,145,Millions,2437635,4491.735352,74919,96076,41928,222027,65130
100,2019-0296-ITA,2019,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,,2019,6,26,2019,6,30,3,,,,,94.3490925,"Marche Region, Veneto Region, Milan",IT,IT,41.87194,12.56738,Italy,147,Millions,1796633.8,2905.5,53362,154962,17054,309369,60550
